id,categoria,nombre_norma,articulo,enunciado,importacion_fichero_id,pagina_origen
7,NUMERO_SIMPLE,Ley 39/2015,47,"-De acuerdo con la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas, identifique la respuesta CORRECTA:",,
14,NUMERO_SIMPLE,Ley 1/2015,41,"-De acuerdo con la Ley 1/2015, de 6 de febrero, de Hacienda Pública, del Sector Público Instrumental y de Subvenciones, identifique la respuesta CORRECTA:",,
18,NUMERO_SIMPLE,Ley 9/2017,3,"-Un director general necesita contratar una serie de servicios y prestaciones en el ámbito del desarrollo de las competencias de su dirección general. Se ha leído la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, y cree haber sacado una serie de conclusiones. Indique cuál de las cuatro afirmaciones que plantea es la CORRECTA:",,
20,NUMERO_SIMPLE,Ley 9/2017,130,"-De acuerdo con el tenor literal del artículo 130 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, señale la respuesta CORRECTA:",,
21,NUMERO_SIMPLE,Ley 9/2017,99,"-De acuerdo con el tenor literal del artículo 99 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, señale la respuesta CORRECTA:",,
22,NUMERO_CON_APARTADO,Ley 9/2017,82.2,"-De conformidad con lo establecido en el artículo 82.2 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, sin perjuicio de lo señalado en el apartado 3 de dicho artículo y en el artículo siguiente, para la conservación de la clasificación deberá justificarse:",,
23,NUMERO_SIMPLE,Ley 4/2021,12,"-Señale la respuesta CORRECTA. De acuerdo con el tenor literal del artículo 12 de la Ley 4/2021, de 16 de abril, de la Generalitat, de la Función Pública Valenciana, corresponde al Consell Assessor de la Funció Pública Valenciana:",,
24,NUMERO_SIMPLE,Ley 9/2017,215,"-De acuerdo con la literalidad del artículo 215 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, señale la respuesta CORRECTA:",,
26,NUMERO_SIMPLE,Real Decreto Legislativo 5/2015,39,"-De acuerdo con el tenor literal del artículo 39 del texto refundido de la Ley del Estatuto Básico del Empleado Público, aprobado mediante Real Decreto Legislativo 5/2015, de 30 de octubre, señale la respuesta CORRECTA:",,
27,NUMERO_SIMPLE,Ley 4/2021,25,"-Señale la respuesta CORRECTA, de acuerdo con el tenor literal del artículo 25 de la Ley 4/2021, de 16 de abril, de la Generalitat, de la Función Pública Valenciana. El nombramiento del personal directivo público profesional corresponderá:",,
28,NUMERO_SIMPLE,Ley 4/2021,46,"-Señale la respuesta CORRECTA, de acuerdo con la literalidad del artículo 46 de la Ley 4/2021, de 16 de abril, de la Generalitat, de la Función Pública Valenciana. La clasificación de puestos de trabajo de naturaleza eventual contendrá:",,
29,NUMERO_SIMPLE,Ley 4/2021,67,"-De acuerdo con la literalidad del artículo 67 de la Ley 4/2021, de 16 de abril, de la Generalitat, de la Función Pública Valenciana, señale la respuesta CORRECTA:",,
32,NUMERO_SIMPLE,Ley 4/2021,184,"-Señale cuál de las siguientes afirmaciones es CORRECTA, de acuerdo con el artículo 184 de la Ley 4/2021, de 16 de abril, de la Generalitat, de la Función Pública Valenciana. Las personas que integran las juntas de personal:",,
33,NUMERO_SIMPLE,Ley 4/2021,185,"-Señale cuál de las siguientes afirmaciones es INCORRECTA, según el artículo 185 de la Ley 4/2021, de 16 de abril, de la Generalitat, de la Función Pública Valenciana. Las juntas de personal tendrán, en sus respectivos ámbitos, las siguientes funciones:",,
34,NUMERO_SIMPLE,Ley 4/2021,96,"-Según el artículo 96 de la Ley 4/2021, de 16 de abril, de la Función Pública Valenciana, señale la respuesta CORRECTA:",,
36,NUMERO_SIMPLE,Ley 13/1997,1,"-Señale la respuesta CORRECTA, de conformidad con el tenor literal del artículo 1 de la Ley 13/1997, de 23 de diciembre, por la que se regula el tramo autonómico del Impuesto sobre la Renta de las Personas Físicas y restantes tributos cedidos:",,
38,NUMERO_SIMPLE,Ley 1/2015,24,"-Según el tenor literal del artículo 24 de la Ley 1/2015, de 6 de febrero, de Hacienda Pública, del Sector Público Instrumental y de Subvenciones, indique la respuesta CORRECTA:",,
39,NUMERO_SIMPLE,Ley 1/2015,38,"-Indique cuál de las siguientes afirmaciones es la CORRECTA, de conformidad con el artículo 38 de la Ley 1/2015, de 6 de febrero, de Hacienda Pública, del Sector Público Instrumental y de Subvenciones:",,
40,NUMERO_SIMPLE,Ley 1/2015,58,"-De conformidad con el artículo 58 de la Ley 1/2015, de 6 de febrero, de Hacienda Pública, del Sector Público Instrumental y de Subvenciones, indique cuál de las siguientes afirmaciones es la CORRECTA:",,
41,NUMERO_SIMPLE,Ley 1/2015,44,"-De conformidad con artículo 44 de la Ley 1/2015, de 6 de febrero, de Hacienda Pública, del Sector Público Instrumental y de Subvenciones, indique cuál de las siguientes afirmaciones es la CORRECTA:",,
