fecha,hora,modelo,operacion,tiempo,input,cached_input,output,coste
2026-07-19,09:09:10,gpt-5.4-mini,importar_test_imagen,5.25,2272,0,267,0.002906
2026-07-19,09:09:13,gpt-5.4-mini,importar_test_imagen,2.50,2042,0,186,0.002368
2026-07-19,09:09:16,gpt-5.4-mini,importar_test_imagen,2.69,2118,0,290,0.002894
2026-07-19,09:09:18,gpt-5.4-mini,importar_test_imagen,2.35,2118,0,193,0.002457
2026-07-19,09:09:22,gpt-5.4-mini,importar_test_imagen,3.33,2886,0,470,0.004280
2026-07-19,09:09:24,gpt-5.4-mini,importar_test_imagen,2.28,2195,0,278,0.002897
2026-07-19,09:09:26,gpt-5.4-mini,importar_test_imagen,1.78,2118,0,189,0.002439
2026-07-19,09:09:28,gpt-5.4-mini,importar_test_imagen,1.89,2118,0,188,0.002435
2026-07-19,09:09:30,gpt-5.4-mini,importar_test_imagen,2.05,2118,0,193,0.002457
2026-07-19,09:09:33,gpt-5.4-mini,importar_test_imagen,2.27,2195,0,221,0.002641
2026-07-19,09:09:37,gpt-5.4-mini,importar_test_imagen,3.92,2656,0,402,0.003801
2026-07-19,09:09:39,gpt-5.4-mini,importar_test_imagen,1.72,2118,0,176,0.002380
2026-07-19,09:09:41,gpt-5.4-mini,importar_test_imagen,2.17,2118,0,174,0.002371
2026-07-19,09:09:44,gpt-5.4-mini,importar_test_imagen,2.34,2195,0,209,0.002587
2026-07-19,09:09:45,gpt-5.4-mini,importar_test_imagen,1.77,2195,0,174,0.002429
2026-07-19,09:09:48,gpt-5.4-mini,importar_test_imagen,2.15,2118,0,254,0.002731
2026-07-19,09:09:50,gpt-5.4-mini,importar_test_imagen,2.03,2195,0,181,0.002461
2026-07-19,09:09:55,gpt-5.4-mini,importar_test_imagen,5.40,2118,0,227,0.002610
2026-07-19,09:09:58,gpt-5.4-mini,importar_test_imagen,2.13,2272,0,230,0.002739
2026-07-19,09:10:00,gpt-5.4-mini,importar_test_imagen,1.95,2042,0,213,0.002490
2026-07-19,09:10:04,gpt-5.4-mini,importar_test_imagen,4.35,2118,0,227,0.002610
2026-07-19,09:10:06,gpt-5.4-mini,importar_test_imagen,2.05,2118,0,189,0.002439
2026-07-19,09:10:10,gpt-5.4-mini,importar_test_imagen,3.30,2426,0,341,0.003354
2026-07-19,09:10:13,gpt-5.4-mini,importar_test_imagen,2.38,2272,0,289,0.003005
2026-07-19,09:10:14,gpt-5.4-mini,importar_test_imagen,1.87,1965,0,158,0.002185
2026-07-19,09:10:18,gpt-5.4-mini,importar_test_imagen,3.37,2195,0,338,0.003167
2026-07-19,09:10:22,gpt-5.4-mini,importar_test_imagen,4.05,2502,0,360,0.003496
2026-07-19,09:10:25,gpt-5.4-mini,importar_test_imagen,2.65,2272,0,263,0.002888
2026-07-19,09:10:27,gpt-5.4-mini,importar_test_imagen,2.04,2195,0,198,0.002537
2026-07-19,09:10:30,gpt-5.4-mini,importar_test_imagen,2.81,2579,0,373,0.003613
2026-07-19,09:10:33,gpt-5.4-mini,importar_test_imagen,2.50,2195,0,243,0.002740
2026-07-19,09:10:35,gpt-5.4-mini,importar_test_imagen,1.73,2118,0,201,0.002493
2026-07-19,09:10:38,gpt-5.4-mini,importar_test_imagen,2.58,2426,0,253,0.002958
2026-07-19,09:10:41,gpt-5.4-mini,importar_test_imagen,2.83,2349,0,356,0.003364
2026-07-19,09:10:43,gpt-5.4-mini,importar_test_imagen,1.88,2195,0,193,0.002515
2026-07-19,09:10:46,gpt-5.4-mini,importar_test_imagen,3.44,2195,0,191,0.002506
